전철역명,지번주소
보라매,대한민국 서울특별시 보라매역
신풍,대한민국 서울특별시 영등포구 신길6동 3581-1
남구로,대한민국 서울특별시 구로구 구로동 801-95
철산,대한민국 경기도 광명시 철산동 526
광명사거리,대한민국 경기도 광명시 광명동 오리로 지하 980
천왕,대한민국 서울특별시 구로구 오류동 174
까치울,대한민국 경기도 부천시 원미구 춘의동 416-1
부천종합운동장,대한민국 경기도 부천시 원미구 춘의동 87-1
춘의,대한민국 부천시 춘의동 춘의
신중동,대한민국 부천시 중동 신중동
부천시청,대한민국 경기도 부천시 시청역 대한민국
상동,대한민국 경기도 부천시 원미구 중동 부천시 보건소 상동
삼산체육관,대한민국 부천시 상3동 삼산체육관
굴포천,대한민국 인천광역시 갈산동 굴포천
암사,대한민국 서울특별시 암사동 암사역
강동구청,대한민국 서울특별시 강동구 성내동 319
몽촌토성,대한민국 서울특별시 송파구 방이2동 44-12
석촌,대한민국 서울특별시 송파구 송파동 19-9
송파,대한민국 서울특별시 송파역
문정,대한민국 서울특별시 문정1동 문정
장지,대한민국 서울특별시 장지동 장지
산성,대한민국 경기도 성남시 수정구 창곡동 산121-4
남한산성입구,대한민국 성남시 단대동 남한산성입구
단대오거리,대한민국 경기도 성남시 수정구 신흥동 2458
신흥,대한민국 성남시 신흥동 신흥
수진,대한민국 경기도 성남시 중원구 성남동 1315
귤현,대한민국 인천광역시 계양구 귤현동 334-1
임학,대한민국 인천광역시 계양2동 임학역
계산,대한민국 인천광역시 계양구 계산동 1014
경인교대입구,대한민국 인천광역시 계산1동 경인교대입구
작전,대한민국 인천광역시 계양구 작전동 878
갈산,대한민국 인천광역시 청천2동 갈산역(부평4공단)4번출구
부평시장,대한민국 인천광역시 부평구 부평1동 부흥로
동수,대한민국 인천광역시 부평구 부평2동 감리 교회 동수
부평삼거리,대한민국 인천광역시 부평구 십정동 592
간석오거리,대한민국 인천광역시 간석4동 간석오거리
예술회관,대한민국 인천광역시 남동구 구월1동 예술회관
인천터미널,대한민국 인천광역시 관교동 종합터미널역
문학경기장,대한민국 인천광역시 연수구 선학동 110-2
선학,대한민국 인천광역시 연수구 선학동 254
신연수,대한민국 인천광역시 연수구 연수3동 347
동춘,대한민국 인천광역시 동춘3동 동춘역
동막,대한민국 인천광역시 남동구 고잔동 743-1
캠퍼스타운,대한민국 인천광역시 송도동 캠퍼스타운역(3번출구)
테크노파크,대한민국 인천광역시 송도동 테크노파크
지식정보단지,대한민국 인천광역시 연수구 송도1동 9-40
인천대입구,대한민국 인천광역시 송도동 인천대입구역
검단오류,대한민국 인천광역시 서구 오류동 402-1
왕길,대한민국 인천광역시 서구 왕길동 474-8
검단사거리,대한민국 인천광역시 서구 왕길동 242-8
마전,대한민국 인천광역시 검단1동 마전
독정,대한민국 인천광역시 서구 검단4동 875-6
검바위,대한민국 인천광역시 서구 검암경서동 산72-20
아시아드경기장,대한민국 인천광역시 서구 연희동 산10
서구청,대한민국 인천광역시 서구 심곡동 산7-4
가정,대한민국 인천광역시 서구 가정동 240-1
가정중앙시장,대한민국 인천광역시 서구 가정1동 511-12
석남,대한민국 인천광역시 서구 석남동 495-7
서부여성회관,대한민국 인천광역시 서구 석남동 495-7
인천가좌,대한민국 인천광역시 서구 가좌동 217-10
가재울,대한민국 인천광역시 서구 가좌동 305-71
주안국가산단,대한민국 인천광역시 남구 주안5동 1415-11
시민공원,대한민국 인천광역시 남구 주안4동 458-2
석천사거리,대한민국 인천광역시 남동구 구월동 73-3
모래내시장,대한민국 인천광역시 구월동 모래내시장
만수,대한민국 인천광역시 남동구 만수동 884-5
남동구청,대한민국 인천광역시 남동구 만수1동 1006
인천대공원,대한민국 인천광역시 남동구 장수동 605-4
