기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	성동구	마장동	1,096	654	442	554	324	230	122	78	44	97	57	40	116	64	52	8	6	2	70	40	30	26	25	1	39	20	19	38	20	18	3	3	-	4	3	1	7	6	1	3	2	1	5	3	2	4	3	1
2018	성동구	사근동	395	221	174	217	110	107	46	28	18	39	31	8	35	17	18	4	4	-	16	7	9	3	2	1	10	3	7	13	9	4	1	1	-	5	5	-	5	4	1	-	-	-	1	-	1	-	-	-
2018	성동구	행당1동	638	375	263	292	164	128	63	39	24	61	35	26	89	48	41	4	3	1	43	27	16	13	11	2	15	7	8	29	18	11	4	4	-	9	7	2	5	4	1	1	1	-	7	4	3	3	3	-
2018	성동구	행당2동	890	487	403	404	218	186	109	65	44	106	56	50	104	50	54	13	8	5	42	25	17	11	7	4	35	16	19	31	17	14	6	5	1	11	9	2	5	2	3	2	1	1	7	6	1	4	2	2
2018	성동구	응봉동	528	292	236	242	120	122	52	29	23	53	29	24	88	50	38	7	5	2	29	20	9	9	9	-	13	7	6	22	15	7	4	2	2	2	2	-	2	-	2	-	-	-	5	4	1	-	-	-
2018	성동구	금호1가동	661	355	306	310	160	150	74	43	31	72	39	33	85	43	42	3	1	2	38	21	17	5	5	-	24	12	12	28	17	11	3	3	-	4	2	2	4	3	1	-	-	-	8	4	4	3	2	1
2018	성동구	금호4가동	521	299	222	241	128	113	50	33	17	56	36	20	69	36	33	3	2	1	38	25	13	8	7	1	16	6	10	23	17	6	3	1	2	6	4	2	1	-	1	2	1	1	1	-	1	4	3	1
2018	성동구	성수1가1동	617	377	240	295	179	116	57	37	20	70	42	28	76	40	36	4	4	-	46	33	13	6	5	1	18	12	6	25	12	13	1	-	1	8	5	3	5	5	-	-	-	-	4	3	1	2	-	2
2018	성동구	성수1가2동	578	320	258	290	169	121	64	34	30	48	29	19	83	40	43	4	2	2	27	15	12	5	4	1	18	6	12	23	13	10	-	-	-	5	3	2	2	2	-	-	-	-	8	3	5	1	-	1
2018	성동구	성수2가1동	840	524	316	419	271	148	74	43	31	86	50	36	100	57	43	8	6	2	53	35	18	10	6	4	29	13	16	31	14	17	3	3	-	6	6	-	9	8	1	1	1	-	9	9	-	2	2	-
2018	성동구	성수2가3동	448	273	175	208	119	89	51	38	13	46	31	15	57	28	29	8	5	3	28	18	10	7	7	-	12	7	5	19	13	6	3	1	2	1	1	-	5	3	2	-	-	-	3	2	1	-	-	-
2018	성동구	송정동	523	309	214	268	152	116	46	27	19	51	26	25	62	43	19	5	5	-	31	20	11	2	2	-	20	10	10	27	17	10	-	-	-	4	4	-	2	1	1	-	-	-	2	1	1	3	1	2
2018	성동구	용답동	793	511	282	371	216	155	75	54	21	72	46	26	87	54	33	6	4	2	42	30	12	5	4	1	79	65	14	36	22	14	2	2	-	7	5	2	5	4	1	-	-	-	5	4	1	1	1	-
2018	성동구	왕십리도선동	993	568	425	438	239	199	134	79	55	120	73	47	127	74	53	9	7	2	56	33	23	15	14	1	44	21	23	29	16	13	2	1	1	3	3	-	3	2	1	2	-	2	7	3	4	4	3	1
2018	성동구	금호2.3가동	955	530	425	482	253	229	94	61	33	88	51	37	133	68	65	6	5	1	54	34	20	10	9	1	27	14	13	37	22	15	-	-	-	5	4	1	9	4	5	2	1	1	7	4	3	1	-	1
2018	성동구	옥수동	726	407	319	347	201	146	91	53	38	70	35	35	81	36	45	3	3	-	36	21	15	12	9	3	32	19	13	28	12	16	3	2	1	7	4	3	8	6	2	-	-	-	6	4	2	2	2	-
2018	광진구	소계	12,610	7,337	5,273	5,906	3,347	2,559	1,307	764	543	1,343	838	505	1,521	855	666	103	77	26	804	477	327	162	137	25	536	271	265	582	324	258	36	26	10	68	51	17	77	56	21	10	5	5	107	79	28	48	30	18
2018	광진구	화양동	549	322	227	276	146	130	53	27	26	72	48	24	65	45	20	3	1	2	25	16	9	9	9	-	18	11	7	20	13	7	1	1	-	1	1	-	1	-	1	-	-	-	5	4	1	-	-	-
2018	광진구	군자동	790	453	337	362	201	161	83	50	33	79	50	29	89	48	41	9	7	2	62	30	32	5	4	1	39	25	14	42	22	20	-	-	-	6	6	-	3	3	-	-	-	-	7	4	3	4	3	1
2018	광진구	중곡1동	686	399	287	326	189	137	66	38	28	69	41	28	81	48	33	8	6	2	38	20	18	6	6	-	45	23	22	30	19	11	3	2	1	5	4	1	2	-	2	1	-	1	4	2	2	2	1	1
